address_1,senior_care_community_number_1,residence_hall_dormitory,state_province,worship_facility_gross_floor,supermarket_grocery_gross,census_tract,senior_care_community_number_2,energy_alerts,data_center_pdu_input_site,hotel_amount_of_laundry,estimated_data_flag_other,estimated_data_flag_natural,hospital_general_medical_5,senior_care_community_number_3,national_median_site_eui,refrigerated_warehouse_gross,site_energy_use_kbtu,weather_normalized_source,multifamily_housing_number_3,multifamily_housing_gross,supermarket_grocery_worker,supermarket_grocery_number_1,residence_hall_dormitory_4,hospital_general_medical,electricity_sourced_from,estimated_data_flag_diesel,bank_branch_worker_density,retail_store_gross_floor,multifamily_housing_maximum,k_12_school_cooking_facilities,multifamily_housing_number_4,medical_office_number_of,supermarket_grocery_percent,outdoor_water_use_all_water,hotel_gym_fitness_center,hotel_full_service_spa_floor,medical_office_percent_that,retail_store_number_of_walk,estimated_data_flag_fuel_1,supermarket_grocery_walk,supermarket_grocery_weekly,source_energy_use_kbtu,multifamily_housing_primary,bank_branch_weekly_operating,retail_store_exterior_entrance,data_center_national_median,k_12_school_refrigeration,percent_better_than_national,bank_branch_number_of_workers
47 East 91st Street,Not Available,Not Available,New York,Not Available,Not Available,16001.0,Not Available,The rating is not available for stores that do not have exterior entrances.<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2106024.2,93.8,10,45830,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,715,10,Not Available,40,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,Not Available,Not Available,Not Available,4168029.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available
550 First Avenue,Not Available,Not Available,New York,Not Available,Not Available,62.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,627,Not Available,199,Not Available,581939861.6,450.1,Not Available,Not Available,Not Available,Not Available,Not Available,2906660,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1263388882,Not Available,Not Available,Not Available,Not Available,Not Available,0.6,Not Available
11 West 42nd street,Not Available,Not Available,New York,Not Available,Not Available,96.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,68,Not Available,212785172.5,270.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27237,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4,Not Available,Not Available,Not Available,257051238,Not Available,Not Available,1,Not Available,Not Available,229.8,Not Available
75 Central Park West,Not Available,Not Available,New York,Not Available,Not Available,153.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,9414177.9,135.3,58,112150,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15,Not Available,123,8,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,16183084.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
910 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,130.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,11409847.1,150.1,42,153350,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16,Not Available,105,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22121574.1,District Steam,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10 Columbus Circle,Not Available,591640,New York,Not Available,60000,145.0,Not Available,Data > 120 days old<br>,Not Available,No laundry facility,Not Available,Not Available,Not Available,Not Available,70,Not Available,406513506.7,388.5,Not Available,Not Available,2.5,Not Available,1650,Not Available,Not Available,No,Not Available,667322,Not Available,Not Available,Not Available,Not Available,100,1477.7,Not Available,Not Available,Not Available,6,Not Available,0.08,80,1048716412,Not Available,Not Available,1,1.82,Not Available,113.3,Not Available
845 Third Avenue,Not Available,Not Available,New York,Not Available,Not Available,98.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,130.9,Not Available,40529006,268.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.66,18726,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,92416777.6,Not Available,40,1,Not Available,Not Available,-9.6,6
200 Hudson Street,Not Available,Not Available,New York,Not Available,Not Available,33.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,68,Not Available,27192811.1,211.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70520261.3,Not Available,Not Available,Not Available,Not Available,Not Available,20.1,Not Available
24 State Street,Not Available,Not Available,New York,Not Available,Not Available,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,126.9,Not Available,119875570.9,295.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,265400524.2,Not Available,Not Available,Not Available,Not Available,Not Available,9.9,Not Available
351 E 68 St,Not Available,Not Available,New York,Not Available,Not Available,118.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,44,Not Available,12763614.5,525,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,32145989.2,Not Available,Not Available,Not Available,Not Available,Not Available,381.3,Not Available
20-16 thru 20-34 Seagirt Blvd,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,13819171.7,66.3,314,250648,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,346,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16389177,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1111 Amsterdam Avenue,Not Available,Not Available,New York,Not Available,Not Available,20101.0,Not Available,Less than 1 year of data<br>Data > 120 days old<br>,Not Available,Not Available,Not Available,No,600,Not Available,196,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1134614,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1067 Madison Avenue,Not Available,Not Available,New York,Not Available,Not Available,142.0,Not Available,Less than 1 year of data<br>Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,49822,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3450,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available
180 Grand Ave,Not Available,Not Available,New York,Not Available,Not Available,193.0,Not Available,Data > 120 days old<br>> 65 days in electrical meter entry<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,57,Not Available,1386614.8,250,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2500179.3,Not Available,Not Available,Not Available,Not Available,0,143.3,Not Available
40 Fulton St,Not Available,Not Available,New York,Not Available,Not Available,1502.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,86.8,Not Available,20167535.4,219.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8350,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,55663010.5,Not Available,Not Available,1,Not Available,Not Available,-7,Not Available
240 West End Ave,Not Available,Not Available,New York,Not Available,Not Available,159.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5183231.3,117.1,57,64615,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7715526,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1400 Broadway,Not Available,Not Available,New York,Not Available,Not Available,113.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,82.3,Not Available,53312024.2,159.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,143701634.3,Not Available,Not Available,Not Available,Not Available,Not Available,-26.4,Not Available
