property_name,movie_theater_gross_floor,transportation_terminal,estimated_savings_from_energy_1,estimated_data_flag,restaurant_worker_density,data_center_pue,alert_data_center_does_not,alert_property_has_no_uses,estimated_data_flag_natural,other_gross_floor_area_ft,energy_star_score,multifamily_housing_number_7,wholesale_club_supercenter,self_storage_facility_gross,multifamily_housing_percent,source_energy_use_kbtu,medical_office_percent_that_1,alert_meter_has_less_than,district_steam_cost,alert_individual_monthly,multifamily_housing_government,site_energy_use_kbtu,automobile_dealership_gross,food_sales_gross_floor_area,alert_no_meters_are_associated,electricity_grid_purchase,council_district,water_wastewater_estimated,investment_in_energy_projects,office_percent_that_can_be_1,national_median_site_energy,liquid_propane_use_kbtu,weather_normalized_site_3,natural_gas_use_kbtu,nta,urgent_care_clinic_other,multifamily_housing_resident,parent_property_name,multifamily_housing_number_4,parking_open_parking_lot,bank_branch_gross_floor_area,national_median_reference,weather_normalized_source,financial_office_number_of_1,hospital_general_medical_7,convenience_store_with_gas,hospital_general_medical_5,medical_office_percent_that,leed_us_project_id,repair_services_vehicle_shoe,investment_in_energy_projects_1,energy_star_certification,year_ending,retail_store_number_of_walk,data_center_gross_floor_area,temporary_values,data_center_cooling_equipment,distribution_center_gross,parent_property_id,hotel_percent_that_can_be,race_track_gross_floor_area,hotel_room_density_number,hospital_general_medical_13,library_gross_floor_area
Student Union,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,11,Not Available,Not Available,Not Available,Not Available,1663975.4,Not Available,Ok,Not Available,Possible Issue,Not Available,861599.4,Not Available,Not Available,Ok,Not Available,35.0,Not Available,0,Not Available,576264.3,Not Available,Not Available,498299.8,Clinton Hill,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Triton Company LP,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,61,0,Not Available,Not Available,100,8592478,Not Available,Ok,Not Available,Ok,Not Available,6294154.1,Not Available,Not Available,Ok,Not Available,40.0,Not Available,0,Not Available,6798204.5,Not Available,278621.5,5345055.5,Flatbush,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,106.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Pelican: 1780 Grand Concourse,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,86,Not Available,Not Available,Not Available,Not Available,29513527.2,Not Available,Ok,Not Available,Ok,Not Available,12373468.7,Not Available,Not Available,Ok,0,15.0,Not Available,0,100,20108324.8,Not Available,2338855.7,4468499.8,Mount Hope,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,0,Not Available,CBECS - Office & Bank/Financial,162.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
3510 Bainbridge Avenue Co,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,1,0,Not Available,Not Available,100,11179560.4,Not Available,Possible Issue,Not Available,Ok,Not Available,8261224.9,Not Available,Not Available,Ok,Not Available,11.0,Not Available,0,Not Available,4470004.3,Not Available,388407,323800,Norwood,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,217.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,Yes,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
School of Social Work,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,100,Not Available,Not Available,Not Available,Not Available,8338160,Not Available,Possible Issue,Not Available,Possible Issue,Not Available,7963615.9,Not Available,Not Available,Ok,Not Available,7.0,Not Available,0,100,28880431.5,Not Available,0,7372699.7,Morningside Heights,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
ARC,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,1,Not Available,Not Available,Not Available,Not Available,29176294.4,Not Available,Ok,Not Available,Possible Issue,Not Available,13595416,Not Available,Not Available,Ok,Not Available,35.0,Not Available,0,Not Available,5367127,Not Available,Not Available,6465699.4,Clinton Hill,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
785 Fifth Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,17,0,Not Available,Not Available,90,27003393.4,Not Available,Possible Issue,174614.57,Ok,No,13172018.9,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,10488563.1,Not Available,1693537.7,72913.3,Upper East Side-Carnegie Hill,Not Available,No specific resident population,Not Applicable: Standalone Property,53,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,142.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
133 W21,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34790640.8,Not Available,Ok,Not Available,Possible Issue,Not Available,15463384.3,Not Available,Not Available,Ok,Not Available,3.0,Not Available,0,Not Available,12619625.3,Not Available,2638109.7,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - College/University,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
50 ARLO RD ENT,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,6,0,Not Available,Not Available,Not Available,4130522.8,Not Available,Possible Issue,Not Available,Ok,Not Available,3148626.1,Not Available,Not Available,Ok,0,49.0,Not Available,0,Not Available,2178046.7,Not Available,115615.8,2754145.1,Grymes Hill-Clifton-Fox Hills,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,183.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
101 Lafayette Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,76,0,Not Available,Not Available,100,16506362.5,Not Available,Ok,Not Available,Ok,No,11418969.7,Not Available,Not Available,Ok,0,35.0,Not Available,0,Not Available,13823307.8,Not Available,637468.3,9173590,Fort Greene,Not Available,No specific resident population,Not Applicable: Standalone Property,199,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"Pelican: Rockaway One Company7, LLC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,1.23346,Not Available,Not Available,90,Not Available,Not Available,Possible Issue,Not Available,Possible Issue,No,Not Available,Not Available,Not Available,Ok,Not Available,,Not Available,0,Not Available,12808524.4,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Applicable: Standalone Property,0,0,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
225 BROADWAY CO.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,81,Not Available,Not Available,Not Available,Not Available,90056988.3,Not Available,Ok,Not Available,Ok,Not Available,46099333.5,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,100,69549458.1,Not Available,5942154.8,1631713.3,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,190.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
850 Third Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,82,Not Available,Not Available,Not Available,Not Available,114031071.6,Not Available,Ok,482940.15,Ok,Not Available,48512468.6,Not Available,Not Available,Ok,1647666.3,4.0,Not Available,0,100,74749959.9,Not Available,8421060.5,Not Available,Turtle Bay-East Midtown,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,0,Not Available,CBECS - Office & Bank/Financial,191.2,30,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2014, 2013, 2011",2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Mount Sinai - Roosevelt,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,36,Not Available,Not Available,Not Available,Not Available,420004629.4,Not Available,Ok,948780.59,Ok,Not Available,199093432.8,Not Available,Not Available,Ok,3406796.53,3.0,Not Available,0,Not Available,184960472.6,Not Available,27471500.5,768624.6,Lincoln Square,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Inpatient Healthcare,484.7,Not Available,0.00116,Not Available,0.68996,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,Yes,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,100,Not Available
Juilliard,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,86041688.6,Not Available,Ok,648168.81,Ok,Not Available,52203314.5,Not Available,Not Available,Ok,348921.29,6.0,Not Available,0,Not Available,58151405.3,Not Available,3785336,Not Available,Lincoln Square,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - College/University,231.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
540 Madison Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,63,Not Available,Not Available,Not Available,Not Available,67399897.5,Not Available,Possible Issue,Not Available,Ok,Not Available,27837157.9,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,32306378.2,Not Available,5108303.7,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,223.4,12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
147-34 71 Road,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,36,0,Not Available,Not Available,Not Available,6223679.9,Not Available,Ok,Not Available,Ok,Not Available,4513065.7,Not Available,Not Available,Ok,0,24.0,Not Available,0,Not Available,4154349,Not Available,208237.8,3802558.1,Kew Gardens Hills,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,132.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Mount Sinai - St. Luke's,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,97,Not Available,Not Available,Not Available,Not Available,326435402.9,Not Available,Ok,Not Available,Ok,Not Available,141977052.8,Not Available,Not Available,Ok,3024524.88,7.0,Not Available,0,Not Available,215134901.1,Not Available,25234832.2,19206094.6,Morningside Heights,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Inpatient Healthcare,280.1,Not Available,0.00088,Not Available,0.69001,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,Yes,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,100,Not Available
